PitchNo,Date,PAofInning,PitchofPA,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,Count,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,EffectiveVelo,MaxHeight,SpeedDrop,ContactPositionX,ContactPositionY,ContactPositionZ,CatcherId,CatcherThrows,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,System
140,2/8/2023,3,5,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,2,2,2-2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,89.43533,-1.954369,4.053998,2456.794586,149.973028,11:00,5.80541,-2.19879,5.56894,-13.00103,22.93946,-12.50359,2.89109,0.55249,80.6024,-4.489349,1.831904,0.431483,59.71265,56.036783,78.231284,4756.796581,,,,,69.1911,,,7.60752,12.59477,1.85738,50,5.62854,-8.61347,-129.33876,-4.76041,12.72925,30.05227,-11.09996,87.35558,63.92105,8.83292,1.87199,2.92675,-0.53786,1000055344,Right,54.92854,-130.4789,15.02614,5.80116,-4.33929,-5.54998,2.19332,-9.0964,6.36462,,1.87198,9.97972,-5.89701,1.12804,0.59428,-0.96499,0.63581,-0.21692,0.03052,2.92675,72.63715,-24.88544,2.75349,-0.55446,0.08015,-0.00372,-0.00243,0.00053,-0.53785,47.89784,-3.86004,0.75412,-0.4383,0.40837,-0.25201,0.08446,-0.01186,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
141,2/8/2023,3,6,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,2,2,2-2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,89.3323,-2.020868,3.45641,2369.055074,146.44944,11:00,5.87221,-2.16333,5.643,-17.69273,18.05887,-11.14694,2.50847,0.13592,80.93737,-5.379573,1.469802,0.430347,,,,,,,,,,,,6.74162,10.15532,1.87701,50,5.68939,-7.33127,-129.34536,-5.1159,11.31927,29.22381,-15.12319,87.5861,,8.39493,,,,1000055344,Right,54.8555,-130.43777,14.6119,5.87006,-4.55057,-7.56159,2.15897,-7.75439,5.65964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
142,2/8/2023,3,7,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,2,2,2-2,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,80.62925,-0.189365,2.573111,2635.96659,265.756895,2:45,5.44442,-2.59049,5.02152,-42.35542,1.98618,8.80197,1.73593,0.57282,74.37524,-7.841586,4.125985,0.479266,,,,,,,,,,,,-3.72162,1.36331,2.33639,50,5.39188,-5.6157,-116.96347,-1.91526,-5.16566,21.65327,-30.28175,78.6461,,6.25401,,,,1000055344,Right,55.47965,-117.97355,10.82663,5.44827,-0.50268,-15.14088,2.59274,-5.37473,-2.58283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
143,2/8/2023,3,8,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,2,2,2-2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,88.98344,-2.14299,2.533843,2307.311675,158.166693,11:15,5.71411,-2.26606,5.5425,-18.4406,17.35686,-6.49548,2.1717,-0.43772,81.41943,-5.605987,1.376998,0.430623,74.71333,53.528267,85.762706,5925.019969,,,,,68.95332,,,4.00729,9.72867,2.05091,50,5.51624,-5.4302,-129.03393,-5.42683,6.76061,26.68038,-15.76095,87.52999,71.2164,7.56402,2.48865,2.27619,0.4637,1000055344,Right,54.95679,-130.05481,13.34019,5.71235,-4.82376,-7.88047,2.26364,-5.68888,3.38031,,2.48865,4.81279,-8.24052,1.67449,-0.77624,0.78736,-0.63213,0.28459,-0.05386,2.27619,88.11822,-28.94376,3.88315,-0.7734,0.03147,0.09038,-0.05192,0.01045,0.46369,64.95861,-8.13887,1.5707,1.56693,-3.01685,2.63134,-1.20559,0.22912,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,v3
144,2/8/2023,3,9,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,2,2,2-2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,80.24793,2.089412,1.290465,2796.681498,280.672048,3:15,5.49378,-2.50939,4.98317,-45.61412,-1.15158,12.60119,3.6671,-0.24044,74.27198,-6.148692,3.512263,0.47992,,,,,,,,,,,,-5.92614,-0.71146,2.37418,50,5.65784,-3.15305,-116.52048,2.56942,-8.23523,19.68257,-33.16274,78.53905,,5.97595,,,,1000055344,Right,55.51829,-117.44893,9.84129,5.49974,4.13374,-16.58137,2.51375,-2.76459,-4.11762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
145,2/8/2023,3,10,1000049559,Left,T_B,1000094105,Right,T_A,5,Bottom,2,3,2,3-2,Slider,Slider,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,79.57616,0.594088,1.28605,2623.954091,275.593887,3:15,5.38126,-2.66199,5.20804,-44.81278,0.32449,10.54134,2.20572,-0.57392,73.3261,-7.540099,3.154884,0.483547,,,,,,,,,,,,-4.92351,0.40681,2.53476,50,5.40235,-3.02163,-115.54021,-0.38262,-6.67096,21.05889,-31.62286,77.94984,,6.25006,,,,1000055344,Right,55.29215,-116.50079,10.52945,5.38691,1.05983,-15.81143,2.66565,-2.71734,-3.33548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
146,2/8/2023,1,1,1000013430,Right,T_A,1000051953,Right,T_B,6,Top,0,0,0,0-0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,81.86882,-2.280622,-1.191496,2119.260341,147.581688,11:00,6.15687,0.94758,5.54873,-35.38234,6.54914,-3.38669,1.07558,-0.44823,75.98916,-8.729016,-1.796507,0.46606,,,,,,,,,,,,1.4213,4.25819,-0.84213,50,5.93578,2.60576,-118.89378,-5.9269,2.05072,21.08841,-26.03014,80.87472,,5.87966,,,,1000103236,Right,54.95153,-119.76882,10.5442,6.1593,-4.84681,-13.01507,-0.94848,2.52067,1.02536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.878,2.241137,0.90327,1.337866,0.61521,0.9517,0.47343,-0.07368,5.68353,1.78513,127.27663,-1.85542,2.84377,0.09213,108.99371,-10.58803,5.69155,8.99169,-10.95312,1.71678,-3.33715,3.19489,High,High,High,,,High,High,High,v3
147,2/8/2023,1,2,1000013430,Right,T_A,1000051953,Right,T_B,6,Top,0,1,0,1-0,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,82.69508,-2.92339,-1.802222,2142.366422,185.752641,12:15,6.22706,0.84603,5.38556,-31.66844,9.58375,0.84843,0.84413,-0.77309,76.98875,-8.679627,-1.651219,0.462269,,,,,,,,,,,,-0.86752,5.88465,-0.68552,50,5.94295,3.74237,-120.01905,-7.21971,-1.28118,20.51175,-23.48344,81.53786,,5.70633,,,,1000103236,Right,55.11502,-120.89006,10.25587,6.22836,-6.2225,-11.74172,-0.84559,3.79677,-0.64059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
148,2/8/2023,1,3,1000013430,Right,T_A,1000051953,Right,T_B,6,Top,0,2,0,2-0,Cutter,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,82.21171,-1.662878,-1.296136,2051.753098,175.477022,11:45,6.2531,0.80359,5.34854,-34.86112,7.55327,-0.48638,1.78744,-0.45288,75.21823,-8.044635,-1.382665,0.468736,,,,,,,,,,,,-0.13512,4.65851,-0.68651,50,6.07842,2.71746,-119.23684,-4.65877,-0.19341,24.1818,-25.50668,80.41298,,6.99348,,,,1000103236,Right,55.15093,-120.27694,12.0909,6.2552,-3.56169,-12.75334,-0.80357,2.72578,-0.0967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
149,2/8/2023,1,4,1000013430,Right,T_A,1000051953,Right,T_B,6,Top,0,2,1,2-1,Cutter,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,83.07132,-2.343279,-3.239168,2105.726099,171.237448,11:45,6.25083,0.69655,5.34775,-32.74994,8.51926,-1.12173,1.31897,-2.43845,76.79893,-8.30384,-3.438223,0.462364,,,,,,,,,,,,-0.28457,5.26733,-0.40374,50,6.01596,6.85933,-120.38802,-6.07273,-0.41988,22.18752,-24.40182,81.52106,,6.27239,,,,1000103236,Right,55.15171,-121.33376,11.09376,6.25264,-5.0326,-12.20091,-0.6965,6.87723,-0.20994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,v3
